enter_threshold,exit_threshold,enter_run_windows,exit_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp,scope,segments
0.65,0.5,3,4,388,0.4252577319587629,0.05106382978723404,1.0,0.09716599190283401,0.40691489361702127,0.5930851063829787,153,223,0,12,same_patient,4
0.65,0.5,3,5,388,0.35051546391752575,0.045454545454545456,1.0,0.08695652173913043,0.32978723404255317,0.6702127659574468,124,252,0,12,same_patient,4
0.65,0.5,4,1,388,0.47164948453608246,0.0,0.0,0.0,0.4867021276595745,0.5132978723404256,183,193,12,0,same_patient,4
0.65,0.5,4,2,388,0.4072164948453608,0.0,0.0,0.0,0.42021276595744683,0.5797872340425532,158,218,12,0,same_patient,4
0.65,0.5,4,3,388,0.4072164948453608,0.0,0.0,0.0,0.42021276595744683,0.5797872340425532,158,218,12,0,same_patient,4
0.65,0.5,4,4,388,0.4072164948453608,0.0,0.0,0.0,0.42021276595744683,0.5797872340425532,158,218,12,0,same_patient,4
0.65,0.5,4,5,388,0.3324742268041237,0.0,0.0,0.0,0.34308510638297873,0.6569148936170213,129,247,12,0,same_patient,4
0.65,0.55,1,1,388,0.4381443298969072,0.04424778761061947,0.8333333333333334,0.08403361344537816,0.425531914893617,0.574468085106383,160,216,2,10,same_patient,4
0.65,0.55,1,2,388,0.37371134020618557,0.047058823529411764,1.0,0.0898876404494382,0.3537234042553192,0.6462765957446809,133,243,0,12,same_patient,4
0.65,0.55,1,3,388,0.3479381443298969,0.045283018867924525,1.0,0.08664259927797834,0.3271276595744681,0.6728723404255319,123,253,0,12,same_patient,4
0.65,0.55,1,4,388,0.3170103092783505,0.04332129963898917,1.0,0.08304498269896193,0.29521276595744683,0.7047872340425532,111,265,0,12,same_patient,4
0.65,0.55,1,5,388,0.2860824742268041,0.04152249134948097,1.0,0.07973421926910298,0.2632978723404255,0.7367021276595744,99,277,0,12,same_patient,4
0.65,0.55,2,1,388,0.49742268041237114,0.04926108374384237,0.8333333333333334,0.09302325581395349,0.4867021276595745,0.5132978723404256,183,193,2,10,same_patient,4
0.65,0.55,2,2,388,0.41494845360824745,0.0502092050209205,1.0,0.09561752988047809,0.3962765957446808,0.6037234042553191,149,227,0,12,same_patient,4
0.65,0.55,2,3,388,0.39948453608247425,0.04897959183673469,1.0,0.0933852140077821,0.3803191489361702,0.6196808510638298,143,233,0,12,same_patient,4
0.65,0.55,2,4,388,0.39948453608247425,0.04897959183673469,1.0,0.0933852140077821,0.3803191489361702,0.6196808510638298,143,233,0,12,same_patient,4
0.65,0.55,2,5,388,0.33762886597938147,0.04460966542750929,1.0,0.08540925266903915,0.31648936170212766,0.6835106382978723,119,257,0,12,same_patient,4
0.65,0.55,3,1,388,0.5283505154639175,0.05235602094240838,0.8333333333333334,0.09852216748768473,0.5186170212765957,0.48138297872340424,195,181,2,10,same_patient,4
0.65,0.55,3,2,388,0.4381443298969072,0.05217391304347826,1.0,0.09917355371900827,0.42021276595744683,0.5797872340425532,158,218,0,12,same_patient,4
0.65,0.55,3,3,388,0.4381443298969072,0.05217391304347826,1.0,0.09917355371900827,0.42021276595744683,0.5797872340425532,158,218,0,12,same_patient,4
